TT,AHU3_CCV-AHU3-Percentage,AHU3_DSP-AHU3-inch,AHU3_DSPSP-AHU3-inch,AHU3_MAT-AHU3-degree Fahrenheit,AHU3_MaxDMP-AHU3-Percentage,AHU3_RAT-AHU3-degree Fahrenheit,AHU3_RHV-AHU3-Percentage,AHU3_SAT-AHU3-degree Fahrenheit,AHU3_SATSP-AHU3-degree Fahrenheit,AHU3_SFC-AHU3-No Unit,AHU3_SFS-AHU3-No Unit,AHU3_SupCFM-AHU3-cubic foot per minute,
Fri  Feb 21 13:30:00  CST,0.00  ( OK ),,,68.12  ( OK ),0.00  ( OK ),74.17  ( OK ),3.19  ( OK ),71.97  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 13:45:00  CST,0.00  ( OK ),,,67.83  ( OK ),0.00  ( OK ),73.99  ( OK ),0.00  ( OK ),76.64  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 14:00:00  CST,0.00  ( OK ),,,67.82  ( OK ),0.00  ( OK ),74.17  ( OK ),4.45  ( OK ),71.69  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 14:15:00  CST,0.00  ( OK ),,,67.83  ( OK ),0.00  ( OK ),74.02  ( OK ),0.00  ( OK ),76.79  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 14:30:00  CST,0.00  ( OK ),,,67.80  ( OK ),0.00  ( OK ),74.06  ( OK ),2.29  ( OK ),72.12  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 14:45:00  CST,0.00  ( OK ),,,68.03  ( OK ),0.00  ( OK ),73.91  ( OK ),0.00  ( OK ),77.14  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 15:00:00  CST,0.00  ( OK ),,,67.51  ( OK ),0.00  ( OK ),73.96  ( OK ),5.87  ( OK ),71.57  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 15:15:00  CST,0.00  ( OK ),,,67.75  ( OK ),0.00  ( OK ),73.77  ( OK ),0.00  ( OK ),76.59  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 15:30:00  CST,0.00  ( OK ),,,67.64  ( OK ),0.00  ( OK ),73.90  ( OK ),8.29  ( OK ),71.38  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 15:45:00  CST,0.00  ( OK ),,,67.68  ( OK ),0.00  ( OK ),73.75  ( OK ),0.00  ( OK ),74.54  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 16:00:00  CST,0.00  ( OK ),,,67.80  ( OK ),0.00  ( OK ),73.74  ( OK ),0.00  ( OK ),76.80  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 16:15:00  CST,0.00  ( OK ),,,67.51  ( OK ),0.00  ( OK ),73.79  ( OK ),0.00  ( OK ),72.61  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 16:30:00  CST,0.00  ( OK ),,,67.60  ( OK ),0.00  ( OK ),73.57  ( OK ),0.00  ( OK ),77.09  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 16:45:00  CST,0.00  ( OK ),,,67.49  ( OK ),0.00  ( OK ),73.76  ( OK ),8.62  ( OK ),71.96  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 17:00:00  CST,0.00  ( OK ),,,67.44  ( OK ),0.00  ( OK ),73.52  ( OK ),0.00  ( OK ),73.56  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 17:15:00  CST,0.00  ( OK ),,,67.31  ( OK ),0.00  ( OK ),73.26  ( OK ),0.00  ( OK ),77.98  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 17:30:00  CST,0.00  ( OK ),,,67.20  ( OK ),0.00  ( OK ),73.31  ( OK ),0.00  ( OK ),75.95  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
Fri  Feb 21 17:45:00  CST,0.00  ( OK ),,,67.03  ( OK ),0.00  ( OK ),73.21  ( OK ),3.00  ( OK ),72.35  ( OK ),,1.00  ( OK ),1.00  ( OK ),,
