TT,AHU6_CCV-AHU6-Percentage,AHU6_DSP-AHU6-inch,AHU6_DSPSP-AHU6-inch,AHU6_MAT-AHU6-degree Fahrenheit,AHU6_MaxDMP-AHU6-Percentage,AHU6_RAT-AHU6-degree Fahrenheit,AHU6_SAT-AHU6-degree Fahrenheit,AHU6_SATSP-AHU6-degree Fahrenheit,AHU6_SFC-AHU6-No Unit,AHU6_SFS-AHU6-No Unit,AHU6_SupCFM-AHU6-cubic foot per minute,AHU6_SupVFD-AHU6-Percentage,
Mon  May 12 23:45:00  CDT,99.99  ( OK ),0.61  ( OK ),1.50  ( OK ),70.95  ( OK ),0.00  ( OK ),75.59  ( OK ),74.63  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),15424.90  ( OK ),99.99  ( OK ),
Tue  May 13 00:00:00  CDT,99.99  ( OK ),0.41  ( OK ),1.50  ( OK ),66.26  ( OK ),100.00  ( OK ),75.63  ( OK ),70.25  ( OK ),56.00  ( Overridden ),1.00  ( OK ),1.00  ( OK ),12996.51  ( OK ),99.99  ( OK ),
Tue  May 13 00:15:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),66.94  ( OK ),0.00  ( OK ),76.07  ( OK ),70.95  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 00:30:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),67.39  ( OK ),0.00  ( OK ),76.59  ( OK ),72.13  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 00:45:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),67.65  ( OK ),0.00  ( OK ),76.61  ( OK ),72.79  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 01:00:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),67.88  ( OK ),0.00  ( OK ),76.52  ( OK ),73.17  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 01:15:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.16  ( OK ),0.00  ( OK ),76.29  ( OK ),73.34  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 01:30:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.31  ( OK ),0.00  ( OK ),75.72  ( OK ),73.47  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 01:45:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.41  ( OK ),0.00  ( OK ),76.04  ( OK ),73.48  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 02:00:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.52  ( OK ),0.00  ( OK ),76.05  ( OK ),73.37  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 02:15:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.54  ( OK ),0.00  ( OK ),76.12  ( OK ),73.47  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 02:30:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.60  ( OK ),0.00  ( OK ),76.27  ( OK ),73.36  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 02:45:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.62  ( OK ),0.00  ( OK ),76.27  ( OK ),73.35  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 03:00:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.70  ( OK ),0.00  ( OK ),76.21  ( OK ),73.36  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 03:15:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.71  ( OK ),0.00  ( OK ),76.05  ( OK ),73.37  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 03:30:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.79  ( OK ),0.00  ( OK ),75.89  ( OK ),73.38  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 03:45:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.83  ( OK ),0.00  ( OK ),76.03  ( OK ),73.36  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 04:00:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.78  ( OK ),0.00  ( OK ),75.96  ( OK ),73.24  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 04:15:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),68.92  ( OK ),0.00  ( OK ),75.74  ( OK ),73.29  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 04:30:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),69.08  ( OK ),0.00  ( OK ),75.43  ( OK ),73.33  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
Tue  May 13 04:45:00  CDT,0.00  ( OK ),0.00  ( OK ),1.50  ( OK ),69.08  ( OK ),0.00  ( OK ),75.73  ( OK ),73.21  ( OK ),56.00  ( Overridden ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),0.00  ( OK ),
